v,v.mean,t,mean,sd,5,95,15,85,25,75
<0.053 mm,11.64942695,Seedling,9.177632811,1.248987733,7.164003626,11.19632602,7.757266293,10.26453747,8.068317645,9.709249524
<0.053 mm,11.64942695,Acorn,12.74226538,1.332668144,10.77759875,15.17405392,11.39010494,13.98124782,11.66277505,13.3110563
<0.053 mm,11.64942695,Seedbank,13.47001536,1.412256285,11.02792829,15.49831007,12.23309263,14.96462362,12.66992393,14.43270758
<0.053 mm,11.64942695,Reference,14.25482207,1.474098381,11.95418457,16.78569424,12.87263178,15.6875592,13.39219387,15.1890381
Mean-weight diameter (mm),1.881222953,Balled-and-burlapped,1.806655146,0.094803111,1.645929174,1.956459715,1.70949614,1.894733987,1.75191114,1.868198061
Mean-weight diameter (mm),1.881222953,Bareroot,1.82063258,0.098061104,1.675730303,1.98208748,1.72031837,1.91393967,1.754262029,1.875731642
Mean-weight diameter (mm),1.881222953,Seedling,1.865991603,0.096946125,1.712274446,2.02479887,1.748285463,1.937957672,1.800439987,1.922043172
Mean-weight diameter (mm),1.881222953,Acorn,1.97197687,0.09610522,1.811601702,2.11683505,1.867563597,2.053510099,1.925083556,2.04113387
Mean-weight diameter (mm),1.881222953,Seedbank,2.071229325,0.096523697,1.918160344,2.228939858,1.963736571,2.156943282,2.023656599,2.150101547
Mean-weight diameter (mm),1.881222953,Reference,1.725506647,0.089957404,1.581954444,1.879109496,1.624707943,1.801986869,1.672696629,1.781855919
POC:MAOC ratio,0.181990499,Balled-and-burlapped,0.188442425,0.02911047,0.141570309,0.233123296,0.157595005,0.215398,0.167129971,0.204541825
POC:MAOC ratio,0.181990499,Bareroot,0.221344509,0.033397333,0.164270668,0.271617134,0.18862205,0.252524805,0.195844971,0.236696204
POC:MAOC ratio,0.181990499,Seedling,0.168663323,0.025779533,0.127295669,0.211129456,0.141293669,0.192643278,0.149216382,0.181785751
POC:MAOC ratio,0.181990499,Acorn,0.181128932,0.027413806,0.137460346,0.221524121,0.153938393,0.205488584,0.161114047,0.194590798
POC:MAOC ratio,0.181990499,Seedbank,0.170213389,0.027143866,0.127458839,0.214771888,0.141971805,0.195694306,0.146555688,0.180364923
POC:MAOC ratio,0.181990499,Reference,0.144268377,0.02504561,0.099946244,0.179043641,0.119839156,0.167588451,0.129166527,0.159888785
