variable,variable.label,variable.mean,treatment,posterior.mean,posterior.sd,5,95,25,75
g2mm,2-4.75 mm,25.26764998,Seedling,26.33578677,2.270465787,22.8088797,30.14752772,24.7210528,27.45711466
g2mm,2-4.75 mm,25.26764998,Acorn,26.0749857,2.096092301,22.80589193,29.44655486,24.52943489,27.06126909
g2mm,2-4.75 mm,25.26764998,Seedbank,26.24002704,2.190840066,23.07293812,30.25162556,24.44174963,27.24300853
g2mm,2-4.75 mm,25.26764998,Reference,24.94779579,2.101666441,21.50316042,28.29391944,23.42210467,26.11946236
g250um,0.250-2 mm,48.03663983,Balled-and-burlapped,51.62141607,1.436181946,49.21450758,53.89792875,50.69531244,52.65841998
g250um,0.250-2 mm,48.03663983,Bareroot,50.55008034,1.47954627,48.02101303,52.89406023,49.78633504,51.69342769
g250um,0.250-2 mm,48.03663983,Seedling,49.91871584,1.445318077,47.55629416,52.2163649,48.97507276,50.85387121
g250um,0.250-2 mm,48.03663983,Acorn,44.66294712,1.488045073,42.28071405,47.19618908,43.74584993,45.70905643
g250um,0.250-2 mm,48.03663983,Seedbank,42.92663803,1.417198993,40.5844119,45.22268536,42.07644359,43.94456044
g250um,0.250-2 mm,48.03663983,Reference,48.22288863,1.437310539,45.94846533,50.56669963,47.37888425,49.18696501
g53um,0.053-0.250 mm,7.345892833,Balled-and-burlapped,8.483213128,1.11035844,6.65944241,10.20148562,7.621860948,9.036847257
g53um,0.053-0.250 mm,7.345892833,Bareroot,7.825888826,1.096390459,5.966367951,9.503473456,6.989550575,8.275971853
g53um,0.053-0.250 mm,7.345892833,Seedling,7.523801738,1.023992594,5.997725768,9.265940436,6.784857961,8.1226086
g53um,0.053-0.250 mm,7.345892833,Acorn,6.92988901,1.009778188,5.380301206,8.593459226,6.119083674,7.395991016
g53um,0.053-0.250 mm,7.345892833,Seedbank,5.997308664,0.885055816,4.575016745,7.46792034,5.310990532,6.414559694
g53um,0.053-0.250 mm,7.345892833,Reference,6.777588976,1.011467071,5.050035933,8.275483585,6.072912804,7.33450239
l53um,<0.053 mm,11.64942695,Balled-and-burlapped,9.348585296,1.176337427,7.471284885,11.25396364,8.553666234,10.11491422
l53um,<0.053 mm,11.64942695,Bareroot,10.23651588,1.247663439,8.188412051,12.19801203,9.482082739,11.03276509
l53um,<0.053 mm,11.64942695,Seedling,9.177632811,1.248987733,7.164003626,11.19632602,8.068317645,9.709249524
l53um,<0.053 mm,11.64942695,Acorn,12.74226538,1.332668144,10.77759875,15.17405392,11.66277505,13.3110563
l53um,<0.053 mm,11.64942695,Seedbank,13.47001536,1.412256285,11.02792829,15.49831007,12.66992393,14.43270758
l53um,<0.053 mm,11.64942695,Reference,14.25482207,1.474098381,11.95418457,16.78569424,13.39219387,15.1890381
mwd,Mean-weight diameter (mm),1.881222953,Balled-and-burlapped,1.806655146,0.094803111,1.645929174,1.956459715,1.75191114,1.868198061
mwd,Mean-weight diameter (mm),1.881222953,Bareroot,1.82063258,0.098061104,1.675730303,1.98208748,1.754262029,1.875731642
mwd,Mean-weight diameter (mm),1.881222953,Seedling,1.865991603,0.096946125,1.712274446,2.02479887,1.800439987,1.922043172
mwd,Mean-weight diameter (mm),1.881222953,Acorn,1.97197687,0.09610522,1.811601702,2.11683505,1.925083556,2.04113387
mwd,Mean-weight diameter (mm),1.881222953,Seedbank,2.071229325,0.096523697,1.918160344,2.228939858,2.023656599,2.150101547
mwd,Mean-weight diameter (mm),1.881222953,Reference,1.725506647,0.089957404,1.581954444,1.879109496,1.672696629,1.781855919
poc.moc.ratio,POC:MOC ratio,0.181990499,Balled-and-burlapped,0.188442425,0.02911047,0.141570309,0.233123296,0.167129971,0.204541825
poc.moc.ratio,POC:MOC ratio,0.181990499,Bareroot,0.221344509,0.033397333,0.164270668,0.271617134,0.195844971,0.236696204
poc.moc.ratio,POC:MOC ratio,0.181990499,Seedling,0.168663323,0.025779533,0.127295669,0.211129456,0.149216382,0.181785751
poc.moc.ratio,POC:MOC ratio,0.181990499,Acorn,0.181128932,0.027413806,0.137460346,0.221524121,0.161114047,0.194590798
poc.moc.ratio,POC:MOC ratio,0.181990499,Seedbank,0.170213389,0.027143866,0.127458839,0.214771888,0.146555688,0.180364923
poc.moc.ratio,POC:MOC ratio,0.181990499,Reference,0.144268377,0.02504561,0.099946244,0.179043641,0.129166527,0.159888785
