model,model.label,variable,variable.label,variable.mean,treatment,full.treatment.name,posterior.mean,posterior.se,5,95,25,75
simple,Fixed effects only,silt,Silt (%),42.11111111,E,Seedbank,-0.06961373,0.037057049,-0.13253533,-0.010512601,-0.095088273,-0.045400769
simple,Fixed effects only,silt,Silt (%),42.11111111,R,Reference,-0.153522568,0.038983387,-0.216694601,-0.089243494,-0.17785312,-0.125455499
strip.random,Strip random effects,silt,Silt (%),42.11111111,A,Balled-and-burlapped,0.06026317,0.039403342,-0.002280237,0.1224802,0.03586683,0.082890775
strip.random,Strip random effects,silt,Silt (%),42.11111111,B,Bareroot,-0.048853827,0.053069254,-0.133787052,0.035275038,-0.078775689,-0.014786611
strip.random,Strip random effects,silt,Silt (%),42.11111111,C,Seedling,-0.03776924,0.052871614,-0.123004822,0.046085577,-0.065824499,-0.001921937
strip.random,Strip random effects,silt,Silt (%),42.11111111,D,Acorn,-0.05240785,0.055999471,-0.141655886,0.036995309,-0.083101429,-0.015804444
strip.random,Strip random effects,silt,Silt (%),42.11111111,E,Seedbank,-0.075335425,0.053244565,-0.162560537,0.007447573,-0.10448454,-0.038948841
strip.random,Strip random effects,silt,Silt (%),42.11111111,R,Reference,-0.158898952,0.064170387,-0.259260951,-0.056543188,-0.194044366,-0.119325898
strip.plot.random,Strip and plot random effects,silt,Silt (%),42.11111111,A,Balled-and-burlapped,0.055249536,0.066336627,-0.052643934,0.158982726,0.017925212,0.096689178
strip.plot.random,Strip and plot random effects,silt,Silt (%),42.11111111,B,Bareroot,-0.044492408,0.090619414,-0.185717349,0.102440829,-0.102417513,0.006849436
strip.plot.random,Strip and plot random effects,silt,Silt (%),42.11111111,C,Seedling,-0.033091082,0.091859006,-0.178066497,0.114659618,-0.094177027,0.017391248
strip.plot.random,Strip and plot random effects,silt,Silt (%),42.11111111,D,Acorn,-0.048271534,0.093966315,-0.198475081,0.101252145,-0.101205065,0.011030827
strip.plot.random,Strip and plot random effects,silt,Silt (%),42.11111111,E,Seedbank,-0.072031872,0.091737229,-0.217606595,0.075735317,-0.129593205,-0.018599223
strip.plot.random,Strip and plot random effects,silt,Silt (%),42.11111111,R,Reference,-0.156994967,0.100982913,-0.317396299,0.003908487,-0.214181613,-0.096285067
