Boat number,Size class,Sample number,Mass of boat (g),Mass of boat + sample (g),Mass of sample (g),Sieve date,Start dry time,All water evaporated time,Removed from oven time,Notes
66-2,Full,D2 Q1,14.98,115.05,100.07,7/13/2023,,,,
66.5-2,fPOM,D2 Q1,13.44,13.79,0.35,7/13/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
67-2,>4.75 mm,D2 Q1,13.5,17.37,3.87,7/13/2023,7/24/2023 16:40,7/24/2023 16:40,7/25/2023 16:45,
68-2,>2 mm,D2 Q1,13.5,31.07,17.57,7/13/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
69-2,>250 um,D2 Q1,13.41,60.11,46.7,7/13/2023,7/25/2023 16:55,7/25/2023 16:55,7/26/2023 16:55,
70-2,>53 um,D2 Q1,13.48,31.22,17.74,7/13/2023,7/25/2023 16:55,7/25/2023 16:55,7/26/2023 16:55,
71-2,Full,E1 Q1,13.44,113.85,100.41,7/13/2023,,,,
71.5-2,fPOM,E1 Q1,13.44,13.83,0.39,7/13/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
72-2,>4.75 mm,E1 Q1,2.19,9.79,7.6,7/13/2023,7/25/2023 16:55,7/25/2023 16:55,7/26/2023 16:55,Had to re-weigh in small tin
73-2,>2 mm,E1 Q1,13.59,39.18,25.59,7/13/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
74-2,>250 um,E1 Q1,13.45,64.96,51.51,7/13/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
75-2,>53 um,E1 Q1,13.57,19.64,6.07,7/13/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
76-2,Full,D1 Q1,13.28,113.42,100.14,7/13/2023,,,,
76.5-2,fPOM,D1 Q1,13.34,13.56,0.22,7/13/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
77-2,>4.75 mm,D1 Q1,13.29,18.53,5.24,7/13/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
78-2,>2 mm,D1 Q1,13.28,44.67,31.39,7/13/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
79-2,>250 um,D1 Q1,13.42,56.85,43.43,7/13/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
80-2,>53 um,D1 Q1,13.26,19.72,6.46,7/13/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
81-2,Full,D3 Q2,13.12,113.6,100.48,7/13/2023,,,,
81.5-2,fPOM,D3 Q2,13.23,14.11,0.88,7/13/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
82-2,>4.75 mm,D3 Q2,13.15,25.19,12.04,7/13/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
83-2,>2 mm,D3 Q2,13.21,42.28,29.07,7/13/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
84-2,>250 um,D3 Q2,13.23,51.54,38.31,7/13/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
85-2,>53 um,D3 Q2,2.18,6.09,3.91,7/13/2023,7/25/2023 16:55,7/25/2023 16:55,7/26/2023 16:55,Had to re-weigh in small tin
86-2,Full,R3 Q3,13.25,113.36,100.11,7/14/2023,,,,
86.5-2,fPOM,R3 Q3,13.2,13.83,0.63,7/14/2023,7/26/2023 15:35,7/26/2023 15:35,7/27/2023 15:45,
87-2,>4.75 mm,R3 Q3,13.23,20.24,7.01,7/14/2023,7/26/2023 15:35,7/26/2023 15:35,7/27/2023 15:45,
88-2,>2 mm,R3 Q3,13.31,49.73,36.42,7/14/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
89-2,>250 um,R3 Q3,13.3,52.67,39.37,7/14/2023,7/26/2023 15:35,7/26/2023 15:35,7/27/2023 15:45,
90-2,>53 um,R3 Q3,13.21,15.09,1.88,7/14/2023,7/26/2023 15:35,7/26/2023 15:35,7/27/2023 15:45,
91-2,Full,R1 Q4,13.3,113.37,100.07,7/14/2023,,,,
91.5-2,fPOM,R1 Q4,13.34,13.56,0.22,7/14/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 11:30,
92-2,>4.75 mm,R1 Q4,13.32,16.09,2.77,7/14/2023,7/26/2023 15:35,7/26/2023 15:35,7/27/2023 15:45,
93-2,>2 mm,R1 Q4,11.98,39.24,27.26,7/14/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:15,
94-2,>250 um,R1 Q4,11.98,65.62,53.64,7/14/2023,7/26/2023 15:35,7/26/2023 15:35,7/27/2023 15:45,
95-2,>53 um,R1 Q4,11.97,16.45,4.48,7/14/2023,7/26/2023 15:35,7/26/2023 15:35,7/27/2023 15:45,
96-2,Full,D1 Q4,14.94,114.98,100.04,7/15/2023,,,,
96.5-3,fPOM,D1 Q4,13.16,13.24,0.08,7/15/2023,7/26/2023 15:35,7/26/2023 15:35,7/27/2023 15:45,
97-2,>4.75 mm,D1 Q4,13.17,20.4,7.23,7/15/2023,7/26/2023 15:35,7/26/2023 15:35,7/27/2023 15:45,
98-2,>2 mm,D1 Q4,13.18,43.25,30.07,7/15/2023,7/26/2023 15:35,7/26/2023 15:35,7/27/2023 15:45,
99-2,>250 um,D1 Q4,13.12,54.73,41.61,7/15/2023,7/26/2023 15:35,7/26/2023 15:35,7/27/2023 15:45,
100-2,>53 um,D1 Q4,14.94,18.89,3.95,7/15/2023,7/26/2023 15:35,7/26/2023 15:35,7/27/2023 15:45,
