treatment,variable,variable.label,variable.mean,posterior.mean,posterior.sd,5,95,25,75
Seedling,POC,Particulate organic carbon,15.16331936,12.1453856,1.906186507,9.217965132,15.19273513,11.15246235,13.49980596
Acorn,POC,Particulate organic carbon,15.16331936,14.39458454,1.906289564,11.39278559,17.49139965,13.24121497,15.57991854
Seedbank,POC,Particulate organic carbon,15.16331936,16.75023793,1.809176799,13.7128632,19.6144063,15.7236054,17.99356712
Reference,POC,Particulate organic carbon,15.16331936,16.07821762,1.804367987,13.23916274,19.1324589,14.76924107,17.05308817
Balled-and-burlapped,SOC,Soil organic carbon,102.1660574,91.34531572,5.633619886,82.81386531,100.7180877,87.93909766,95.00096057
Bareroot,SOC,Soil organic carbon,102.1660574,88.07810763,5.588995053,79.06588583,97.03376423,84.98183288,92.12962039
Seedling,SOC,Soil organic carbon,102.1660574,88.96312898,5.334619654,79.42304002,96.87498209,85.72688635,92.58507974
Acorn,SOC,Soil organic carbon,102.1660574,98.8577505,5.350836949,90.36179016,107.4376418,94.92316765,101.5518832
Seedbank,SOC,Soil organic carbon,102.1660574,117.0763754,5.626187704,108.2129779,126.2936187,113.1411894,120.2720792
Reference,SOC,Soil organic carbon,102.1660574,127.1857992,5.259125851,118.5488963,135.466517,123.9301999,130.4063706
Balled-and-burlapped,TIC,Soil inorganic carbon,9.883886752,21.07723044,2.55315843,17.17551513,25.44285178,19.67273822,22.94453612
Bareroot,TIC,Soil inorganic carbon,9.883886752,16.06768866,2.569293741,11.5316085,19.78321459,14.72308736,17.89380977
Seedling,TIC,Soil inorganic carbon,9.883886752,16.71405257,2.582605278,12.60326403,20.86359617,15.09815922,18.34019007
Acorn,TIC,Soil inorganic carbon,9.883886752,4.241764484,1.891861589,1.293350102,7.213366984,2.712432491,5.190031832
Seedbank,TIC,Soil inorganic carbon,9.883886752,2.355448001,1.463057284,0.558760596,4.765091933,1.332978391,2.967725488
Reference,TIC,Soil inorganic carbon,9.883886752,2.33498585,1.476398164,0.50176963,4.74745569,0.848611182,2.547483045
Balled-and-burlapped,TC,Total soil carbon,112.0499441,113.3450326,5.354834449,104.6188663,121.8912802,110.0443208,116.6597877
Bareroot,TC,Total soil carbon,112.0499441,104.5540332,5.371097747,95.89700025,113.23603,101.5902028,108.1988893
Seedling,TC,Total soil carbon,112.0499441,106.2402035,5.519190475,96.88499935,114.7303396,103.2598267,109.9569254
Acorn,TC,Total soil carbon,112.0499441,102.5329901,5.443990065,93.56662051,111.1365818,98.96781551,105.912608
Seedbank,TC,Total soil carbon,112.0499441,117.2009698,5.58574008,108.7474261,126.4469309,113.880608,120.7001537
Reference,TC,Total soil carbon,112.0499441,126.9618568,5.564751458,117.7975887,135.7829563,123.3663028,130.2222624
Balled-and-burlapped,total.abg.wood.carbon,Aboveground woody biomass,80.68414443,111.270435,36.57438046,52.44175266,172.7870792,84.22823356,133.2196248
Bareroot,total.abg.wood.carbon,Aboveground woody biomass,80.68414443,51.80717817,27.84396408,11.98375617,97.29670074,28.12762193,63.01262357
Seedling,total.abg.wood.carbon,Aboveground woody biomass,80.68414443,145.3958584,37.13434725,76.75237883,200.2539038,120.0522519,167.166794
Acorn,total.abg.wood.carbon,Aboveground woody biomass,80.68414443,41.91446964,24.16685203,9.008621655,82.36812096,17.68279407,47.95279457
Seedbank,total.abg.wood.carbon,Aboveground woody biomass,80.68414443,34.56934264,21.87801503,6.984560572,71.19261424,17.84943902,44.20682021
Reference,total.abg.wood.carbon,Aboveground woody biomass,80.68414443,70.00815679,31.15571117,19.77843258,119.5550674,44.95482427,86.58631524
Balled-and-burlapped,total.bg.wood.carbon,Belowground woody biomass,16.57423376,22.95121351,7.01569348,11.9695426,34.74582103,16.95836134,26.32719161
Bareroot,total.bg.wood.carbon,Belowground woody biomass,16.57423376,10.89911802,5.543861058,2.934037048,20.13809524,5.5181315,12.82612757
Seedling,total.bg.wood.carbon,Belowground woody biomass,16.57423376,29.84464175,7.476533024,18.36536046,42.7137254,25.02785255,34.37815407
Acorn,total.bg.wood.carbon,Belowground woody biomass,16.57423376,8.91123979,5.045814012,1.63162966,16.84316281,3.87501412,10.37929864
Seedbank,total.bg.wood.carbon,Belowground woody biomass,16.57423376,7.135692808,4.465418048,1.239055389,14.32564527,3.393864717,8.624157755
Reference,total.bg.wood.carbon,Belowground woody biomass,16.57423376,14.90738788,6.298390358,4.261150979,25.09381262,9.936047508,18.31172576
Balled-and-burlapped,total.live.carbon,Total live vegetation,97.89390397,136.5166084,42.22018789,67.26797572,206.9901649,115.2771558,170.557977
Bareroot,total.live.carbon,Total live vegetation,97.89390397,63.03488355,32.31349792,16.83591294,115.4729473,31.33370263,73.69296055
Seedling,total.live.carbon,Total live vegetation,97.89390397,175.400912,45.0645795,102.1291389,249.3147812,149.1748756,205.5366328
Acorn,total.live.carbon,Total live vegetation,97.89390397,52.01175763,28.23399675,13.47470575,100.5580105,24.46942257,60.13561608
Seedbank,total.live.carbon,Total live vegetation,97.89390397,40.99623244,26.06455239,8.007065022,85.23501126,15.80164865,45.93040333
Reference,total.live.carbon,Total live vegetation,97.89390397,86.15990542,37.88100272,27.69035838,151.1429805,57.66689583,107.7821305
Balled-and-burlapped,total.dead.carbon,Total dead vegetation,12.7640072,6.42231261,2.744668486,1.926296547,10.75439246,4.417346923,8.012679882
Bareroot,total.dead.carbon,Total dead vegetation,12.7640072,23.1482289,3.439223594,17.2335708,28.58957875,21.09774731,25.23892062
Seedling,total.dead.carbon,Total dead vegetation,12.7640072,13.34624974,3.218798601,8.318011902,18.84587905,11.47692241,15.60680867
Acorn,total.dead.carbon,Total dead vegetation,12.7640072,5.862345575,2.635839027,2.089216828,10.35372411,3.957803787,7.236707025
Seedbank,total.dead.carbon,Total dead vegetation,12.7640072,5.064501815,2.39419135,1.020782278,8.514812315,2.996213342,6.013321584
Reference,total.dead.carbon,Total dead vegetation,12.7640072,21.28324786,3.463126923,15.77663854,26.53684838,19.33158472,23.50563717
