"model","model.label","variable","variable.label","treatment","full.treatment.name","posterior.mean","posterior.se","5","95","25","75"
"strip.plot.random","Strip and plot random effects","total.woody.c.stock","Live trees (>= 2.5 cm)","C","Seedling",7739403.06266249,28330937.9856003,-40153694.617551,51166550.272116,-3938922.73850173,3632268.69761863
"strip.plot.random","Strip and plot random effects","total.woody.c.stock","Live trees (>= 2.5 cm)","D","Acorn",6619597.03085254,85420481.6407605,-102960123.615882,58257785.0651947,-4598517.63046125,6200832.280408
"strip.plot.random","Strip and plot random effects","total.woody.c.stock","Live trees (>= 2.5 cm)","E","Seedbank",22117996.2802185,75393126.8090072,-29421953.6730271,71194650.3759816,-2431560.1958014,6905306.5030559
"strip.plot.random","Strip and plot random effects","total.woody.c.stock","Live trees (>= 2.5 cm)","R","Reference",-752645.039445703,25154234.903295,-33019608.768024,47424229.9668142,-6022019.46350408,6141300.87308662
"simple","Fixed effects only","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","A","Balled-and-burlapped",-1711090243.15687,2978903819.91134,-4110577917.9725,-8491.60037685744,-459389687.636526,-8491.60037685744
"simple","Fixed effects only","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","B","Bareroot",-3146143207.52451,15195254886.0164,-4073724211.95804,5816628757.44009,-305056326.732057,308072603.581788
"simple","Fixed effects only","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","C","Seedling",172869267.017776,2701890907.79736,-3296362676.361,3148925385.22242,-195937826.797106,410223549.276472
"simple","Fixed effects only","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","D","Acorn",-1419475809.33242,5011850955.57156,-12061251975.9766,2037243214.66112,-339894596.917125,218525584.005756
"simple","Fixed effects only","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","E","Seedbank",-336190879.189195,3845573563.25119,-1695129159.68689,3842576240.49612,-190288390.837072,158887871.20672
"simple","Fixed effects only","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","R","Reference",-125596758.14719,2839361918.04354,-4327612541.71192,3668349762.18004,-300527532.290987,451628256.596329
"plot.random","Plot random effects","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","A","Balled-and-burlapped",-4.22452206625984,2.49268488569812,-8.02777707344802,-1.51099217826977,-3.33032303427423,-1.51157049170842
"plot.random","Plot random effects","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","B","Bareroot",0.464984676648564,2.39859303305726,-2.38049639391914,3.70962336978533,-2.31519917311254,-0.444837697037999
"plot.random","Plot random effects","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","C","Seedling",0.356208896087867,2.05583731311331,-3.40274021639827,2.51466072721608,1.01261328592835,2.53306569800694
"plot.random","Plot random effects","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","D","Acorn",-2.01147865382105,2.90337884199012,-7.01146153526717,1.46765634153395,-1.33304050602763,1.46667876564497
