"plot","trt","trt.full","num","quad","temperature","gravimetric.moisture","volumetric.moisture","bulk.density","bulk.n","bulk.c","bulk.cn","ton","toc","sand","silt","clay","ph","p","k","ca","mg","som","no3","nh4","cec","k.meq","ca.meq","mg.meq","h.meq","pon.percent","poc.percent","poc.mass.rel","fpom","g475mm","g2mm","g250um","g53um","l53um","mwd"
"D3","D","Acorn","3","Q1",16.5,0.306828927148347,0.252694397848488,0.823567713113028,0.31,4.23,13.65,0.47,4.38,45,38,17,7.7,117,90,7090,614,5.7,9.3,1,40.8,0.2,35.5,5.1,0,0.995,12.72,0.60945,0.139552455275929,7.8075611513875,24.1589223360682,49.4912814603566,6.02069164190441,12.3819909550073,1.87899391650975
"D3","D","Acorn","3","Q2",16.8,0.350220964760589,0.26213859397657,0.748494865679351,0.35,4.94,14.11,0.46,5.31,35,42,23,7.5,124,100,6705,518,5.5,15.1,1,38.1,0.3,33.5,4.3,0,0.905,14.895,0.835565,0.877186861734417,11.89026791081,28.8038261296024,38.1563326412196,3.89750071520633,16.3748857414272,2.16529716698548
"D3","D","Acorn","3","Q3",20.5,0.297478590068732,0.254346617389314,0.85500814472244,0.31,4.19,13.52,0.42,4.27,45,38,17,7.7,126,85,6671,528,5.5,9.4,1,38,0.2,33.4,4.4,0,0.485,6.375,0.803205,0.0498401625985454,7.0050348532257,27.663184168372,47.6443047147797,5.63193837363575,12.0056977273883,1.92473425225302
"D3","D","Acorn","3","Q4",18.8,0.2475379551767,0.171608855323145,0.693262797620856,0.3,4,13.33,0.41,4.13,39,40,21,7.8,118,109,6526,560,5.8,9.4,1.3,37.6,0.3,32.6,4.7,0,0.585,7.03,0.46583,0.139552455275931,7.96724903235325,26.7775244789959,45.6606662433576,6.82810227600087,12.6269055140165,1.93568064716454
"D3","D","Acorn","3","Q5",18.4,0.270009449996828,0.254150856893035,0.941266525656865,0.3,4.02,13.4,0.41,4.08,47,36,17,7.8,127,83,7184,644,5.2,7.6,1,41.5,0.2,35.9,5.4,0,0.665,9.275,0.568555,0.0697762276379636,14.4491615389446,26.4345244799927,46.2117987613723,3.8576285851275,8.977110406925,2.33902629267938
"E1","E","Seedbank","1","Q1",15.2,0.325326244068677,0.271530452879991,0.834640481149348,0.32,4.53,14.16,0.45,4.57,44,39,17,7.5,106,86,7171,584,6.1,15,1,40.9,0.2,35.9,4.9,0,0.92,12.465,0.7780035,0.388753268268663,7.56713220701211,25.496532619888,51.3386569272343,6.05059573946354,9.15832923813333,1.92963919709492
"E1","E","Seedbank","1","Q2",17.7,0.316486005643138,0.237767966970529,0.751274820153125,0.3,4.31,14.37,0.48,4.42,48,37,15,7.5,57,21,3610,128,5.2,8.7,1.1,19.2,0.1,18.1,1.1,0,0.675,10.58,1.004581,0.0996803251970926,13.7813033601241,29.5201289464687,40.2556002898704,4.1865736582779,12.1567134200619,2.33408060350456
"E1","E","Seedbank","1","Q3",16.8,0.291703512134537,0.265190590163469,0.909110035127584,0.29,4.36,15.03,0.45,4.51,49,36,15,7.6,121,99,7470,692,6.6,8,1,43.4,0.3,37.4,5.8,0,0.81,11.375,0.431824,0.119616390236511,20.051096134696,31.8924210058343,31.6256764556069,5.02388838993348,11.2873016236928,2.71802663857011
"E1","E","Seedbank","1","Q4",16.2,0.29820000758947,0.269137416481213,0.902539938401788,0.27,4.31,15.96,0.45,4.4,43,38,19,7.5,105,122,6472,578,6.5,11.9,1,37.5,0.3,32.4,4.8,0,0.66,8.205,0.747775,0.338913105670116,12.7220005442546,32.3258310597912,38.0064134321232,4.70491134930278,11.9019305088581,2.33672442476976
"E1","E","Seedbank","1","Q5",16.6,0.297454638976012,0.247964292703063,0.833620526331947,0.31,5.37,17.32,0.51,5.45,45,38,17,7.4,96,71,7406,562,7,11,1,41.9,0.2,37,4.7,0,0.845,12.555,0.96018,0.737634406458488,4.84356668165194,34.8682774342683,46.6012497919173,5.02388838993348,7.92538329577047,2.01745699043169
"E2","E","Seedbank","2","Q1",16,0.291443921775098,0.286862828867328,0.984281391494225,0.25,4.18,16.72,0.56,5.55,31,48,21,7.7,125,71,6431,562,5.2,7.2,1,37,0.2,32.2,4.7,0,0.615,9.795,0.879218,0.179424585354767,8.43564688045438,24.8772187594385,48.6240626311419,6.23958963603723,11.6440575075732,1.93385230465896
"E2","E","Seedbank","2","Q2",16.4,0.288530014119209,0.223658250518429,0.775164591459185,0.25,4.27,17.08,0.43,4.46,43,42,15,7.7,121,76,6672,574,5.7,8.1,1,38.3,0.2,33.4,4.8,0,0.595,8.48,0.6311205,0.428625398347499,6.37555359960606,29.9020042722987,37.4384349391501,6.67858178820522,19.1768000023923,1.84693463063954
"E2","E","Seedbank","2","Q3",17.5,0.253641312343681,0.243535315287362,0.960156344552319,0.23,4.1,17.83,0.41,4.25,38,45,17,7.5,102,59,7012,550,6.3,7.8,1,39.8,0.2,35.1,4.6,0,0.625,8.015,0.659185,0.12958442275622,17.4439572291661,26.7291795212753,34.6130958017637,4.56535889402685,16.5188241310118,2.41047592869667
"E2","E","Seedbank","2","Q4",17.4,0.289608436507408,0.256999917582779,0.887404803127013,0.22,4,18.18,0.42,4.27,38,43,19,7.8,105,65,6950,523,5.9,7.8,1,39.3,0.2,34.8,4.4,0,0.405,6.025,0.7423925,0.0897122926773835,8.62543821962965,22.7116636945316,45.5343712713328,5.28305723544592,17.7557572863826,1.83665584470603
"E2","E","Seedbank","2","Q5",18.5,0.276334121889133,0.247119534466859,0.89427803116549,0.21,3.89,18.52,0.41,4.14,47,38,15,7.5,93,63,7717,561,5.8,14.5,1,43.4,0.2,38.6,4.7,0,0.895,10.3,0.379606,0.14952048779564,11.3121220246669,23.1396910109279,47.9886005580105,7.15704734915127,10.2530185694478,2.05282703370291
"E3","E","Seedbank","3","Q1",16.3,0.25256362846584,0.218320024208364,0.86441593167835,0.2,3.9,19.5,0.38,3.92,36,49,15,7.6,102,75,6636,552,5.9,10.1,1,38,0.2,33.2,4.6,0,0.425,6.92,0.866152,0.159488520315349,9.24265879325004,24.5550519484015,47.6242689694151,8.02426617836598,10.3942655902521,1.96588229049438
"E3","E","Seedbank","3","Q2",16.6,0.280364566121093,0.25299985480259,0.902395970728041,0.19,3.95,20.79,0.4,4.15,36,47,17,7.8,121,114,6800,497,5.6,7.9,1,38.4,0.3,34,4.1,0,0.625,7.815,0.416935,NA,10.034618976941,18.0160226154722,41.6109536715753,9.32011040592819,21.0182943300834,1.72999091912237
"E3","E","Seedbank","3","Q3",18.6,0.264529262519071,0.245010749885995,0.926214164560832,0.19,3.91,20.58,0.4,4.01,37,44,19,7.6,113,75,6669,489,5.9,7.9,1,37.6,0.2,33.3,4.1,0,0.56,6.56,0.49387,0.199360650394187,11.5022124048178,21.31245096974,40.4577519893701,7.33647193450604,19.1917520511719,1.91882572589705
"E3","E","Seedbank","3","Q4",18,0.292452009045181,0.284741716477241,0.973635699774768,0.19,3.9,20.53,0.45,4.16,36,43,21,7.7,130,80,6067,510,5.2,7.6,1,34.8,0.2,30.3,4.3,0,0.755,8.875,0.397018,0.109648357716802,15.079041513865,29.1955698076269,45.8102864114784,4.1865736582779,5.61888025103493,2.46834775873773
